"490003","Hostage","2005"
"490008","The Sound of Music","1965"
"490010","Walk in the Clouds","1995"
"490012","Pretty Woman","1990"
"490015","Notting Hill","1999"
"490016","Stepmom","1998"
"755001","Amelie","2001"
"755004","Hero","2004"
"755008","Seven","1995"
"755009","Shrek","2001"
"755010","Terminator 2","1991"
"755013","White Chicks","2004"
"755014","Star Wars: Episode I","1999"
"901","Eurotrip","2004"
"905","Star Wars: Episode III - Revenge of the Sith","2005"
"907","Bicentennial Man","1999"
"908","Lord of the Rings: The Return of the King","2003"
"910","Spider Man 2","2004"
"921","Smallville: Season 3","2004"
"925","The Majestic","2001"
"926","Insomnia","2002"
"927","Lord of the Rings: The Two Towers","2002"
"928","Daredevil","2003"
"929","Spider Man","2002"
"135001","12 Monkeys","1995"
"135002","Blade Runner","1982"
"135004","The Usual Suspects","1995"
"135005","Zoolander","2001"
"135006","The Life Aquatic","2004"
"135007","The Lost Boys","1987"
"135009","The Royal Tenenbaums","2001"
"135011","A Nightmare On Elm Street","1984"
"135012","Dumb and Dumber","1994"
"135013","Elf","2003"
"135014","Monty Python and the Holy Grail","1975"
"671001","Alien","1979"
"671002","Aliens","1986"
"671003","Alien3","1992"
"671004","Bowling for Columbine","2002"
"671007","Saving Private Ryan","1998"
"671009","The Mask","1994"
"671010","Dogma","1999"
"671011","Starship Troopers","1997"
"671013","Men In Black","1997"
"671014","Men in Black II","2002"
"671015","The Mummy","1999"
"671016","The Mummy Returns","2001"
"671017","Blast From the Past","1999"
"671019","Indiana Jones and the Temple of Doom","1984"
"156001","Aviator","2004"
"156003","Love the Hard Way","2001"
"156005","The Terminator","1984"
"156006","Jurassic Park","1993"
"872002","Are We There Yet","2005"
"872004","Dodgeball: A True Underdog Story","2004"
"872007","Man on Fire","2001"
"872008","The Stepford Wives","2004"
"872010","Collateral","2004"
"872011","Ray","2004"
"872012","Bad Company","2002"
"788001","When Harry Met Sally","1989"
"788002","Being Human","1994"
"788003","American History X","1998"
"788004","Bone Collector","1999"
"788007","Ride With the Devil","1999"
"788008","Master and Commander: The Far Side of the World","2003"
"788009","The Others","2001"
"788012","Almost Famous","2000"
"788014","Proof of Life","2000"
"788015","Philadelphia","1993"
"788016","Courage Under Fire","1996"
"788017","You've Got Mail","1998"
"525001","Dr. No","1962"
"525002","From Russia with Love","1963"
"525003","Goldfinger","1964"
"525004","Thunderball","1965"
"525005","You Only Live Twice","1967"
"525006","On Her Majestys Secret Service","1969"
"525007","Diamonds are Forever","1971"
"525008","Live and Let Die","1973"
"525009","The Man with the Golden Gun","1974"
"525010","The Spy Who Loved Me","1977"
"525011","Moonraker","1979"
"525012","For Your Eyes Only","1981"
"525013","Octopussy","1983"
"525014","A View to a Kill","1985"
"525015","The Living Daylights","1987"
"525016","Licence to Kill","1989"
"525017","GoldenEye","1995"
"525018","Tomorrow Never Dies","1997"
"525019","The World is Not Enough","1999"
"525020","Die Another Day","2002"
"764001","The Village","2004"
"764004","Spider-Man 2","2004"
"764007","The Polar Express","2004"
"764008","Hellboy","2004"
"764009","50 First Dates","2004"
"855001","Rush Hour 2","2001"
"855002","The Fifth Element","1997"
"855004","Runaway Bride","1999"
"855005","Ocean Twelve","2004"
"855008","Sleepy Hollow","1999"
"855009","External Sunshine of the Spotless Mind","2004"
"683002","Scarface","1983"
"683004","Driven","2001"
"683005","Any Given Sunday","1999"
"683006","Oceans Eleven","1995"
"683007","The Fast and the Furious","2001"
"683008","Barbershop","2002"
"683009","Black Hawk Down","2002"
"150001","Charlie and the Chocolate Factory","2005"
"150002","Are We There Yet","2005"
"150003","Beautiful Boxer","2005"
"150004","Alone in the Dark ","2005"
"150005","Hide and Seek","2005"
"150006","Coach Carter","2005"
"150008","Racing Stripes","2005"
"150009","Kingdom of Heaven","2005"
"150010","Alexander","2005"
"634005","The Lord of the Rings: The Two Towers","2002"
"634006","The Lord of the Rings: The Return of the King","2003"
"634007","Crouching Tiger Hidden Dragon","2000"
"634008","You Got Served","2004"
"634002","The Matrix Reloaded","2003"
"326002","Godsend","2004"
"326004","Along Came Polly","2004"
