Madeleine,Stowe,12 Monkeys
Brad,Pitt,12 Monkeys
Bruce,Willis,12 Monkeys
Keir,Dullea,2001: A Space Odyssey
Hilary,Swank,2001: A Space Odyssey
Steve,Coogan,24 Hour Party People
Christian,Bale,24 Hour Party People
Kurt,Russell,3000 Miles to Graceland
Malcolm,McDowell,3000 Miles to Graceland
Adam,Sandler,50 First Dates
none,Eminem,8 Mile
Russell,Crowe,A Beautiful Mind
Jennifer,Connelly,A Beautiful Mind
Ed,Harris,A Beautiful Mind
Malcolm,McDowell,A Clockwork Orange
Kurt,Russell,A Clockwork Orange
Johnny,Depp,A Nightmare On Elm Street
Roger,Moore,A View to a Kill
Robert,Brown,A View to a Kill
Lois,Maxwell,A View to a Kill
Desmond,Llewelyn,A View to a Kill
Hugh,Grant,About A Boy
Colin,Farrell,Alexander
Colin,Ferrell,Alexander
Angelina,Jolie,Alexander
Sigourney,Weaver,Alien
Sigourney,Weaver,Alien3
Sigourney,Weaver,Aliens
Timothy,Spall,All or Nothing
Tony,Shalhoub,All or Nothing
Tara,Subkoff,All Over Me
Samuel,Jackson,All Over Me
Kate,Hudson,Almost Famous
Christian,Slater,Alone in the Dark 
Jennifer,Aniston,Along Came Polly
Ben,Stiller,Along Came Polly
Audrey,Tautou,Amelie
Thora,Birch,American Beauty
Mena,Suvari,American Beauty
Jodie,Foster,Anna and the King
Yun-Fat,Chow,Anna and the King
Al,Pacino,Any Given Sunday
Jamie,Foxx,Any Given Sunday
Cameron,Diaz,Any Given Sunday
Ice,Cube,Are We There Yet
Ice,Cube,Are We There Yet
Leonardo,DiCaprio,Assault on Precinct 13
Laurence,Fishburne,Assault on Precinct 13
Ethan,Hawke,Assault on Precinct 13
Kate,Beckinsale,Aviator
Cate,Blanchett,Aviator
Leonardo,DiCaprio,Aviator
Kerry,Washington,Bad Company
Ice,Cube,Barbershop
Christian,Bale,Batman Begins
Steve,Coogan,Batman Begins
Michael,Caine,Batman Begins
Liam,Neeson,Batman Begins
Morgan,Freeman,Batman Begins
Katie,Holmes,Batman Begins
Tobey,Maguire,Batman Begins
Asanee,Suwan,Beautiful Boxer
Ethan,Hawke,Before Sunrise
Robin,Williams,Being Human
Robin,Williams,Bicentennial Man
Nicole,Kidman,Birth
Josh,Hartnett,Black Hawk Down
Rutger,Hauer,Blade Runner
Daryl,Hannah,Blade Runner
Harrison,Ford,Blade Runner
Brendan,Fraser,Blast From the Past
Giovanni,Ribisi,Boiler Room
Vin,Diesel,Boiler Room
Scott,Caan,Boiler Room
Giovanni,Ribsi,Boiler Room
Nia,Long,Boiler Room
Nicky,Katt,Boiler Room
Angelina,Jolie,Bone Collector
Denzel,Washington,Bone Collector
Franka,Potente,Bourne Identity
Chris,Cooper,Bourne Identity
Brian,Cox,Bourne Identity
Matt,Damon,Bourne Identity
Michael,Moore,Bowling for Columbine
Mel,Gibson,Braveheart
Audrey,Hepburn,Breakfast at Tiffany's
George,Peppard,Breakfast at Tiffany's
Patricia,Neal,Breakfast at Tiffany's
Buddy,Ebsen,Breakfast at Tiffany's
Mickey,Rooney,Breakfast at Tiffany's
Aishwarya,Rai,Bride and Prejudice
Martin,Henderson,Bride And Prejudice
Martin,Henderson,Bride and Prejudice
Jennifer,Aniston,Bruce Almighty
Jim,Carrey,Bruce Almighty
Leonardo,DiCaprio,Catch Me If You Can
Tom,Hanks,Catch Me If You Can
Halle,Barry,Catwoman
Halle,Berry,Catwoman
Johnny,Depp,Charlie and the Chocolate Factory
Russell,Crowe,Cinderella Man
Renee,Zellweger,Cinderella Man
Charles,Chaplin,City Light
Samuel,Jackson,Coach Carter
Leonardo,DiCaprio,Coach Carter
Ashanti,Douglas,Coach Carter
Kate,Beckinsale,Coach Carter
Samuel,Jackson,Coach Carter
Renee,Zellweger,Cold Mountain
Nicole,Kidman,Cold Mountain
Jude,Law,Cold Mountain
Tom,Cruise,Collateral
Jamie,Fox,Collateral
Meg,Ryan,Courage Under Fire
Matt,Damon,Courage Under Fire
Denzel,Washington,Courage Under Fire
Zhang,Ziyi,Crouching Tiger Hidden Dragon
Jennifer,Garner,Daredevil
Sean,Connery,Diamonds are Forever
Bernard,Lee,Diamonds are Forever
Lois,Maxwell,Diamonds are Forever
Desmond,Llewelyn,Diamonds are Forever
Pierce,Brosnan,Die Another Day
Judi,Dench,Die Another Day
Samantha,Bond,Die Another Day
John,Cleese,Die Another Day
Ben,Stiller,Dodgeball: A True Underdog Story
Vince,Vaughn,Dodgeball: A True Underdog Story
Matt,Damon,Dogma
Jake,Gyllenhaal,Donnie Darko
Sean,Connery,Dr. No
Bernard,Lee,Dr. No
Lois,Maxwell,Dr. No
Sylvester,Stallone,Driven
Gina,Gershon,Driven
Estella,Warren,Driven
Jeff,Daniels,Dumb and Dumber
Jim,Carrey,Dumb and Dumber
Jennifer,Garner,Elektra
Jennifer,Garner,Elektra
Goran,Visnjic,Elektra
Will Yun,Lee,Elektra
Jennifer,Garner,Elektra
Will,Farrel,Elf
Mark,Ruffalo,Eternal Sunshine of the Spotless Mind
Kristin,Kreuk,Eurotrip
Kate,Winslet,External Sunshine of the Spotless Mind
Jim,Carrery,External Sunshine of the Spotless Mind
Nicole,Kidman,Eyes Wide Shut
Tom,Cruise,Eyes Wide Shut
Michael,Moore,Fahrenheit 9/11
Johnny,Depp,Finding Neverland
Kate,Winslet,Finding Neverland
Roger,Moore,For Your Eyes Only
Lois,Maxwell,For Your Eyes Only
Desmond,Llewelyn,For Your Eyes Only
Gary,Sinise,Forrest Gump
Sally,Field,Forrest Gump
Tom,Hanks,Forrest Gump
Sean,Connery,From Russia with Love
Bernard,Lee,From Russia with Love
Lois,Maxwell,From Russia with Love
Desmond,Llewelyn,From Russia with Love
Zach,Braff,Garden State
Natalie,Portman,Garden State
Scarlett,Johansson,Ghost World
Scarlett,Johansson,Girl with a Pearl Earring
Colin,Firth,Girl with a Pearl Earring
Robert,De Niro,Godsend
Pierce,Brosnan,GoldenEye
Judi,Dench,GoldenEye
Samantha,Bond,GoldenEye
Desmond,Llewelyn,GoldenEye
Sean,Connery,Goldfinger
Bernard,Lee,Goldfinger
Lois,Maxwell,Goldfinger
Desmond,Llewelyn,Goldfinger
Nickolas,Cage,Gone in 60 Seconds
Giovanni,Ribsi,Gone in 60 Seconds
William,Scott,Gone in 60 Seconds
Scott,Caan,Gone in 60 Seconds
Angelina,Jolie,Gone in 60 Seconds
Clark,Gable,Gone with the Wind
Vivien,Leigh,Gone with the Wind
Robin,Williams,Good Will Hunting
Matt,Damon,Good Will Hunting
Ron,Perlman,Hellboy
John,Hurt,Hellboy
Selma,Blair,Hellboy
Jeffery,Tambor,Hellboy
David,Pierce,Hellboy
Jet,Li,Hero
Jet,Li,Hero
Robert,De Niro,Hide and Seek
Robert,De Niro,Hide And Seek
Will,Smith,Hitch
Macaulay,Culkin,Home Alone
Macaulay,Culkin,Home Alone 2: Lost in New York
Bruce,Willis,Hostage
Don,Cheadle,Hotel Rwanda
Jude,Law,I Heart Huckabees
Dennis,Quaid,In Good Company
Will,Smith,Independence Day
Sean,Connery,Indiana Jones and the Last Crusade
Harrison,Ford,Indiana Jones and the Last Crusade
Harrison,Ford,Indiana Jones and the Temple of Doom
Robin,Williams,Insomnia
Catherine,Zeta-Jones,Intolerable Cruelty
George,Clooney,Intolerable Cruelty
Catherine,Zeta-Jones,Intolerable Cruelty
Jeff,Goldblum,Jurassic Park
Linda,Hamilton,Jurassic Park
Samuel L.,Jackson,Jurassic Park
Orlando,Bloom,Kingdom Of Heaven
Orlando,Bloom,Kingdom of Heaven
Audrey,Tautou,Le Fabuleux destin dAm?ie Poulain
Meryl,Streep,Lemony Snicket's A Series of Unfortunate Events
Jim,Carrey,Lemony Snicket's A Series of Unfortunate Events
Jude,Law,Lemony Snicket's A Series of Unfortunate Events
Robert,Brown,Licence to Kill
Caroline,Bliss,Licence to Kill
Desmond,Llewelyn,Licence to Kill
Timothy,Dalton,Licence to Kill
Timothy,Dalton,License To Kill
Roger,Moore,Live and Let Die
Bernard,Lee,Live and Let Die
Lois,Maxwell,Live and Let Die
Liv,Tyler,Lord of the Rings: The Return of the King
Liv,Tyler,Lord of the Rings: The Two Towers
Scarlett,Johansson,Lost In Translation
Dennis,Quaid,Love Actually
Hugh,Grant,Love Actually
Martine,McCutcheor,Love Actually
Charlotte,Ayanna,Love the Hard Way
Adrien,Brody,Love the Hard Way
Denzel,Washington,Man on Fire
Christopher,Walken,Man on Fire
Russell,Crowe,Master and Commander: The Far Side of the World
Ben,Stiller,Meet the Fockers
Robert,De Niro,Meet the Fockers
Owen,Wilson,Meet the Fockers
Dustin,Hoffman,Meet the Fockers
Robert,DeNiro,Meet the Fockers
Ben,Stiller,Meet the Fockers
Barbra,Streisand,Meet the Fockers
Will,Smith,Men In Black
Will,Smith,Men in Black II
Clint,Eastwood,Million Dollar Baby
Sandra,Bullock,Miss Congeniality 2: ARMED AND FABULOUS
Graham,Chapman,Monty Python and the Holy Grail
Roger,Moore,Moonraker
Bernard,Lee,Moonraker
Lois,Maxwell,Moonraker
Desmond,Llewelyn,Moonraker
Ewan,MacGregor,Moulin Rouge
Ewan,McGregor,Moulin Rouge
Nicole,Kidman,Moulin Rouge
Greg,Ellis,Mr. and Mrs. Smith
Angelina,Jolie,Mr. and Mrs. Smith
Brad,Pitt,Mr. and Mrs. Smith
Sean,Penn,Mystic River
Emmy,Rossum,Mystic River
Tim,Robbins,Mystic River
Nicholas,Cage,National Treasure
Nicolas,Cage,National Treasure
Harvey,Keitel,National Treasure
Julia,Roberts,Notting Hill
Julia,Roberts,Ocean Twelve
Brad,Pitt,Ocean Twelve
Catherine,Zeta-Jones,Ocean Twelve
George,Clooney,Ocean Twelve
Andy,Garcia,Ocean's Eleven
George,Clooney,Ocean's Eleven
Matt,Damon,Ocean's Eleven
Brad,Pitt,Ocean's Eleven
Brad,Pitt,Ocean's Eleven
Julia,Roberts,Ocean's Eleven
Catherine,Zeta-Jones,Ocean's Eleven
Brad,Pitt,Ocean's Twelve
Catherine,Zeta-Jones,Ocean's Twelve
Andy,Garcia,Ocean's Twelve
George,Clooney,Ocean's Twelve
Matt,Damon,Ocean's Twelve
Brad,Pitt,Ocean's Twelve
Julia,Roberts,Ocean's Twelve
Scott,Caan,Oceans Eleven
George,Clooney,Oceans Eleven
George,Clooney,Oceans Eleven
Matt,Damon,Oceans Eleven
Andy,Garcia,Oceans Eleven
Brad,Pitt,Oceans Eleven
Brad,Pitt,Oceans Eleven
Julia,Roberts,Oceans Eleven
Julia,Roberts,Oceans Eleven
Don,Cheadle,Oceans Twelve
Gerge,Clooney,Oceans Twelve
Julia,Roberts,Oceans Twelve
George,Clooney,Oceans Twelve
Hugh,Grant,Oceans Twelve
Brad,Pitt,Oceans Twelve
