Julie,Andrews,The Sound of Music
Jennifer,Aniston,Along Came Polly
Jennifer,Aniston,Bruce Almighty
Sean,Astin,The Goonies
Sean,Astin,The Lord of the Rings: The Fellowship of the Ring
Sean,Astin,The Lord of the Rings: The Return of the King
Sean,Astin,The Lord of the Rings: The Two Towers
Charlotte,Ayanna,Love the Hard Way
Alec,Baldwin,The Aviator
Christian,Bale,24 Hour Party People
Christian,Bale,Batman Begins
Christian,Bale,The Machinist
Christian,Bale,The New World
Halle,Barry,Catwoman
Steven,Bauer,Scarface
Kate,Beckinsale,Aviator
Kate,Beckinsale,Coach Carter
Kate,Beckinsale,The Aviator
Halle,Berry,Catwoman
Halle,Berry,Robots
Halle,Berry,X2
Thora,Birch,American Beauty
Selma,Blair,Hellboy
Cate,Blanchett,Aviator
Cate ,Blanchett,The Life Aquatic
Caroline,Bliss,Licence to Kill
Caroline,Bliss,The Living Daylights
Orlando,Bloom,Kingdom Of Heaven
Orlando,Bloom,Kingdom of Heaven
Orlando,Bloom,The Lord of the Rings: The Fellowship of the Ring
Orlando,Bloom,The Lord of the Rings: The Return of the King
Orlando,Bloom,The Lord of the Rings: The Two Towers
Orlando,Bloom,Troy
Samantha,Bond,Die Another Day
Samantha,Bond,GoldenEye
Samantha,Bond,The World is Not Enough
Samantha,Bond,Tomorrow Never Dies
Zach,Braff,Garden State
Marlon,Brando,The Godfather
Marlon,Brando,The Godfather
Jordana,Brewster,The Fast and the Furious
Adrien,Brody,Love the Hard Way
Adrien,Brody,The Village
Pierce,Brosnan,Die Another Day
Pierce,Brosnan,GoldenEye
Pierce,Brosnan,The World is Not Enough
Pierce,Brosnan,Tomorrow Never Dies
Robert,Brown,A View to a Kill
Robert,Brown,Licence to Kill
Robert,Brown,Octopussy
Robert,Brown,The Living Daylights
Sandra,Bullock,Miss Congeniality 2: ARMED AND FABULOUS
Gerard,Butler,The Phantom of the Opera
Gabriel,Byrne,The Usual Suspects
Scott,Caan,Boiler Room
Scott,Caan,Gone in 60 Seconds
Scott,Caan,Oceans Eleven
James,Caan,The Godfather
Nickolas,Cage,Gone in 60 Seconds
Nicholas,Cage,National Treasure
Nicolas,Cage,National Treasure
Michael,Caine,Batman Begins
Jim,Carrery,External Sunshine of the Spotless Mind
Jim,Carrey,Bruce Almighty
Jim,Carrey,Dumb and Dumber
Jim,Carrey,Lemony Snicket's A Series of Unfortunate Events
Jim,Carrey,The Majestic
Jim,Carrey,The Mask
Richard,Chamberlain,Shogun
Jackie,Chan,Rush Hour 2
Jackie,Chan,Vampire Effect
Charles,Chaplin,City Light
Graham,Chapman,Monty Python and the Holy Grail
Don,Cheadle,Hotel Rwanda
Don,Cheadle,Oceans Twelve
Yun-Fat,Chow,Anna and the King
John,Cleese,Die Another Day
John,Cleese,The World is Not Enough
George,Clooney,Intolerable Cruelty
George,Clooney,Ocean Twelve
George,Clooney,Ocean's Eleven
George,Clooney,Ocean's Twelve
George,Clooney,Oceans Eleven
George,Clooney,Oceans Eleven
Gerge,Clooney,Oceans Twelve
George,Clooney,Oceans Twelve
Jennifer,Connelly,A Beautiful Mind
Jennifer,Connelly,Requiem For a Dream
Sean,Connery,Diamonds are Forever
Sean,Connery,Dr. No
Sean,Connery,From Russia with Love
Sean,Connery,Goldfinger
Sean,Connery,Indiana Jones and the Last Crusade
Sean,Connery,Thunderball
Sean,Connery,You Only Live Twice
Steve,Coogan,24 Hour Party People
Steve,Coogan,Batman Begins
Chris,Cooper,Bourne Identity
Brian,Cox,Bourne Identity
Russell,Crowe,A Beautiful Mind
Russell,Crowe,Cinderella Man
Russell,Crowe,Master and Commander: The Far Side of the World
Russell,Crowe,Proof of Life
Tom,Cruise,Collateral
Tom,Cruise,Eyes Wide Shut
Billy,Crystal,The Princess Bride
Ice,Cube,Are We There Yet
Ice,Cube,Are We There Yet
Ice,Cube,Barbershop
Macaulay,Culkin,Home Alone
Macaulay,Culkin,Home Alone 2: Lost in New York
Timothy,Dalton,Licence to Kill
Timothy,Dalton,License To Kill
Timothy,Dalton,The Living Daylights
Matt,Damon,Bourne Identity
Matt,Damon,Courage Under Fire
Matt,Damon,Dogma
Matt,Damon,Good Will Hunting
Matt,Damon,Ocean's Eleven
Matt,Damon,Ocean's Twelve
Matt,Damon,Oceans Eleven
Jeff,Daniels,Dumb and Dumber
Robert,De Niro,Godsend
Robert,De Niro,Hide and Seek
Robert,De Niro,Hide And Seek
Robert,De Niro,Meet the Fockers
Benicio,Del Toro,Snatch
Benicio,Del Toro,The Hunted
Benicio,Del Toro,Traffic
Judi,Dench,Die Another Day
Judi,Dench,GoldenEye
Judi,Dench,The World is Not Enough
Judi,Dench,Tomorrow Never Dies
Robert,DeNiro,Meet the Fockers
Johnny,Depp,A Nightmare On Elm Street
Johnny,Depp,Charlie and the Chocolate Factory
Johnny,Depp,Finding Neverland
Johnny,Depp,Sleepy Hollow
Cameron,Diaz,Any Given Sunday
Cameron,Diaz,Shrek
Leonardo,DiCaprio,Assault on Precinct 13
Leonardo,DiCaprio,Aviator
Leonardo,DiCaprio,Catch Me If You Can
Leonardo,DiCaprio,Coach Carter
Leonardo,DiCaprio,The Aviator
Leonardo,DiCaprio,Titanic
Vin,Diesel,Boiler Room
Vin,Diesel,The Fast and the Furious
Snoop,Dogg,Starsky & Hutch
Snoop,Dogg,Training Day
Ashanti,Douglas,Coach Carter
Michael,Douglas,Traffic
Michael,Douglas,Wonder Boys
Minnie,Driver,The Phantom of the Opera
Keir,Dullea,2001: A Space Odyssey
Keir,Dullea,The Affair of the Necklace
Kirsten,Dunst,Spiderman 2
Clint,Eastwood,Million Dollar Baby
Buddy,Ebsen,Breakfast at Tiffany's
Greg,Ellis,Mr. and Mrs. Smith
none,Eminem,8 Mile
Will,Farrel,Elf
Colin,Farrell,Alexander
Colin,Ferrell,Alexander
Colin,Ferrell,The New World
Sally,Field,Forrest Gump
Joesph,Fiennes,Shakespeare in Love
Colin,Firth,Girl with a Pearl Earring
Laurence,Fishburne,Assault on Precinct 13
Laurence ,Fishburne,The Matrix
Laurence ,Fishburne,The Matrix Reloaded
Laurence ,Fishburne,The Matrix Revolutions
Harrison,Ford,Blade Runner
Harrison,Ford,Indiana Jones and the Last Crusade
Harrison,Ford,Indiana Jones and the Temple of Doom
Harrison,Ford,Raiders Of The Lost Ark
Jodie,Foster,Anna and the King
Jamie,Fox,Collateral
Jamie,Fox,Ray
Jamie,Foxx,Any Given Sunday
Brendan,Fraser,Blast From the Past
Brendan,Fraser,The Mummy
Brendan,Fraser,The Mummy Returns
Morgan,Freeman,Batman Begins
Morgan,Freeman,Unleashed
Clark,Gable,Gone with the Wind
Andy,Garcia,Ocean's Eleven
Andy,Garcia,Ocean's Twelve
Andy,Garcia,Oceans Eleven
Jennifer,Garner,Daredevil
Jennifer,Garner,Elektra
Jennifer,Garner,Elektra
Jennifer,Garner,Elektra
Nona,Gaye,The Polar Express
Richard,Gere,Pretty Woman
Richard,Gere,Runaway Bride
Richard,Gere,Shall We Dance
Gina,Gershon,Driven
Mel,Gibson,Braveheart
Mel,Gibson,The Royal Tenenbaums
Brendan,Gleeson,The Village
Whoopi,Goldberg,Racing Stripes
Jeff,Goldblum,Jurassic Park
Hugh,Grant,About A Boy
Hugh,Grant,Love Actually
Hugh,Grant,Oceans Twelve
Jake,Gyllenhaal,Donnie Darko
Linda,Hamilton,Jurassic Park
Linda,Hamilton,The Terminator
Tom,Hanks,Catch Me If You Can
Tom,Hanks,Forrest Gump
Tom,Hanks,Philadelphia
Tom,Hanks,Saving Private Ryan
Tom,Hanks,The terminal
Tom,Hanks,You've Got Mail
Daryl,Hannah,Blade Runner
Ed,Harris,A Beautiful Mind
Josh,Hartnett,Black Hawk Down
Rutger,Hauer,Blade Runner
Ethan,Hawke,Assault on Precinct 13
Ethan,Hawke,Before Sunrise
Ethan,Hawke,Training Day
Martin,Henderson,Bride And Prejudice
Martin,Henderson,Bride and Prejudice
Audrey,Hepburn,Breakfast at Tiffany's
Audrey,Hepburn,Roman Holiday
Dustin,Hoffman,Meet the Fockers
Dustin,Hoffman,Racing Stripes
