"Michael","Douglas","Steven Soderbergh","2000"
"Julie","Andrews","Robert Wise","1965"
"Zach","Braff","Zach Braff","2004"
"Harrison","Ford","Steven Spielberg","1981"
"Jet","Li","Zhang Yimou","2004"
"Mike","Myers","Andrew Adamson Vicky Jenson","2001"
"Keanu","Reeves","Wachowski Brothers","1999"
"Audrey","Tautou","Jean-Pierre Jeunet","2001"
"Marlon","Wayans","Keenan Ivory Wayans","2004"
"Ewan","MacGregor","Baz Luhrmann","2001"
"Ewan","MacGregor","George Lucas","1999"
"Natalie","Portman","Zach Braff","2004"
"Natalie","Portman","George Lucas","1999"
"Cameron","Diaz","Andrew Adamson Vicky Jenson","2001"
"New Eddie","Murphy","Andrew Adamson Vicky Jenson","2001"
"Kristin","Kreuk","Jeff Schaffer","2004"
"Kirsten Dunst","Kreuk","Sam Raimi","2004"
"Kristin","Kreuk","Alfred Gough","2004"
"Kirsten Dunst","Kreuk","Sam Raimi","2002"
"Madeleine","Stowe","Terry Gilliam","1995"
"Rutger","Hauer","Ridley Scott","1982"
"Daryl","Hannah","Ridley Scott","1982"
"Kevin","Spacey","Bryan Singer","1995"
"Gabriel","Byrne","Bryan Singer","1995"
"Bill","Murray","Wes Anderson","2004"
"Cate ","Blanchett","Wes Anderson","2004"
"Kiefer","Sutherland","Joel Schumacher","1987"
"Jeff","Daniels","Peter Farrelly","1994"
"Will","Farrel","Jon Favreau","2003"
"Graham","Chapman","Terry Jones","1975"
"Mel","Gibson","Mel Gibson","1995"
"Jim","Carrey","Chuck Russell","1994"
"Casper","Van Dien","Paul Verhoeven","1997"
"Brendan","Fraser","Stephen Sommers","1999"
"Brendan","Fraser","Stephen Sommers","2001"
"Brendan","Fraser","Hugh Wilson","1999"
"Charlotte","Ayanna","Peter Sehr","2001"
"Arnold","Schwarzenegger","James Cameron","1984"
"Linda","Hamilton","James Cameron","1984"
"Jeff","Goldblum","Steven Spielberg","1993"
"Linda","Hamilton","Steven Spielberg","1993"
"Vinnie","Jones","Guy Ritchie","2000"
"Samuel L.","Jackson","Steven Spielberg","1993"
"Halle","Barry","Pitof","2004"
"Ice","Cube","Brian Levant","2005"
"Ben","Stiller","Jay Roach","2004"
"Ben","Stiller","Rawson Marshall Thurber","2004"
"Vince","Vaughn","Rawson Marshall Thurber","2004"
"Vince","Vaughn","Todd Phillips","2004"
"Snoop","Dogg","Todd Phillips","2004"
"Snoop","Dogg","Antonie Fuqua","2001"
"Denzel","Washington","Antonie Fuqua","2001"
"Denzel","Washington","Tony Scott","2001"
"Christopher","Walken","Tony Scott","2001"
"Christopher","Walken","Frank Oz","2004"
"Nicole","Kidman","Frank Oz","2004"
"Nicole","Kidman","Stanley Kubrick","1999"
"Tom","Cruise","Stanley Kubrick","1999"
"Tom","Cruise","Michael Mann","2004"
"Jamie","Fox","Michael Mann","2004"
"Jamie","Fox","Taylor Hackford","2004"
"Kerry","Washington","Taylor Hackford","2004"
"Kerry","Washington","Joel Schumacher","2002"
"Meg","Ryan","Rob Reiner","1989"
"Meg","Ryan","Taylor Hackford","2000"
"Meg","Ryan","Edward Zwick","1996"
"Meg","Ryan","Nora Ephron","1998"
"Robin","Williams","Bill Forsyth","1994"
"Robin","Williams","Gus Van Sant","1997"
"Russell","Crowe","Peter Weir","2003"
"Russell","Crowe","Ron Howard","2001"
"Russell","Crowe","Taylor Hackford","2000"
"Matt","Damon","Gus Van Sant","1997"
"Matt","Damon","Edward Zwick","1996"
"Angelina","Jolie","Phillip Noyce","1999"
"Tobey","Maguire","Ang Lee","1999"
"Tom","Hanks","Jonathan Demme","1993"
"Tom","Hanks","Nora Ephron","1998"
"Tom","Hanks","Steven Spielberg","2004"
"Kate","Hudson","Cameron Crowe","2000"
"Sean","Connery","Terence Young","1962"
"Sean","Connery","Terence Young","1963"
"Sean","Connery","Guy Hamilton","1964"
"Sean","Connery","Terence Young","1965"
"Sean","Connery","Lewis Gilbert","1967"
"Sean","Connery","Guy Hamilton","1971"
"George","Lazenby","Peter R. Hunt","1969"
"Roger","Moore","Guy Hamilton","1973"
"Roger","Moore","Guy Hamilton","1974"
"Roger","Moore","Lewis Gilbert","1977"
"Roger","Moore","Lewis Gilbert","1979"
"Roger","Moore","John Glen","1981"
"Roger","Moore","John Glen","1983"
"Roger","Moore","John Glen","1985"
"Pierce","Brosnan","Martin Campbell","1995"
"Pierce","Brosnan","Roger Spottiswoode","1997"
"Pierce","Brosnan","Michael Apted","1999"
"Pierce","Brosnan","Lee Tamahori","2002"
"Bernard","Lee","Terence Young","1962"
"Bernard","Lee","Terence Young","1963"
"Bernard","Lee","Guy Hamilton","1964"
"Bernard","Lee","Terence Young","1965"
"Bernard","Lee","Lewis Gilbert","1967"
"Bernard","Lee","Peter R. Hunt","1969"
"Bernard","Lee","Guy Hamilton","1971"
"Bernard","Lee","Guy Hamilton","1973"
"Bernard","Lee","Guy Hamilton","1974"
"Bernard","Lee","Lewis Gilbert","1977"
"Bernard","Lee","Lewis Gilbert","1979"
"Robert","Brown","John Glen","1983"
"Robert","Brown","John Glen","1985"
"Robert","Brown","John Glen","1987"
"Robert","Brown","John Glen","1989"
"Judi","Dench","Martin Campbell","1995"
"Judi","Dench","Roger Spottiswoode","1997"
"Judi","Dench","Michael Apted","1999"
"Judi","Dench","Lee Tamahori","2002"
"Lois","Maxwell","Terence Young","1962"
"Lois","Maxwell","Terence Young","1963"
"Lois","Maxwell","Guy Hamilton","1964"
"Lois","Maxwell","Terence Young","1965"
"Lois","Maxwell","Lewis Gilbert","1967"
"Lois","Maxwell","Peter R. Hunt","1969"
"Lois","Maxwell","Guy Hamilton","1971"
"Lois","Maxwell","Guy Hamilton","1973"
"Lois","Maxwell","Guy Hamilton","1974"
"Lois","Maxwell","Lewis Gilbert","1977"
"Lois","Maxwell","Lewis Gilbert","1979"
"Lois","Maxwell","John Glen","1981"
"Lois","Maxwell","John Glen","1983"
"Lois","Maxwell","John Glen","1985"
"Caroline","Bliss","John Glen","1987"
"Caroline","Bliss","John Glen","1989"
"Samantha","Bond","Martin Campbell","1995"
"Samantha","Bond","Roger Spottiswoode","1997"
"Samantha","Bond","Michael Apted","1999"
"Samantha","Bond","Lee Tamahori","2002"
"Desmond","Llewelyn","Terence Young","1963"
"Desmond","Llewelyn","Guy Hamilton","1964"
"Desmond","Llewelyn","Terence Young","1965"
"Desmond","Llewelyn","Lewis Gilbert","1967"
"Desmond","Llewelyn","Peter R. Hunt","1969"
"Desmond","Llewelyn","Guy Hamilton","1971"
"Desmond","Llewelyn","Guy Hamilton","1974"
"Desmond","Llewelyn","Lewis Gilbert","1977"
"Desmond","Llewelyn","Lewis Gilbert","1979"
"Desmond","Llewelyn","John Glen","1981"
"Desmond","Llewelyn","John Glen","1983"
"Desmond","Llewelyn","John Glen","1985"
"Desmond","Llewelyn","John Glen","1987"
"Desmond","Llewelyn","John Glen","1989"
"Desmond","Llewelyn","Martin Campbell","1995"
"Desmond","Llewelyn","Roger Spottiswoode","1997"
"Desmond","Llewelyn","Michael Apted","1999"
